==9348== NVPROF is profiling process 9348, command: ./v1.out
==9348== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9348== Profiling application: ./v1.out
==9348== Profiling result:
==9348== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X1 (0)"
    Kernel: GPU_minmax(Nim*, MovesArray*, Nimply*, ResultArray*, Result*)
          1                 tex0_cache_sector_queries        3123        3123        3123        3123
          1                 tex1_cache_sector_queries         649         649         649         649
          1                  tex0_cache_sector_misses        3049        3049        3049        3049
          1                  tex1_cache_sector_misses         641         641         641         641
          1              l2_subp0_write_sector_misses          78          78          78          78
          1              l2_subp1_write_sector_misses          68          68          68          68
          1               l2_subp0_read_sector_misses         366         366         366         366
          1               l2_subp1_read_sector_misses         366         366         366         366
          1          l2_subp0_read_tex_sector_queries         802         802         802         802
          1          l2_subp1_read_tex_sector_queries        1608        1608        1608        1608
          1         l2_subp0_write_tex_sector_queries         681         681         681         681
          1         l2_subp1_write_tex_sector_queries         599         599         599         599
          1             l2_subp0_read_tex_hit_sectors         802         802         802         802
          1             l2_subp1_read_tex_hit_sectors        1608        1608        1608        1608
          1            l2_subp0_write_tex_hit_sectors         681         681         681         681
          1            l2_subp1_write_tex_hit_sectors         599         599         599         599
          1        l2_subp0_total_read_sector_queries        1171        1171        1171        1171
          1        l2_subp1_total_read_sector_queries        2531        2531        2531        2531
          1       l2_subp0_total_write_sector_queries         702         702         702         702
          1       l2_subp1_total_write_sector_queries         600         600         600         600
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm      121516      121516      121516      121516
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit         141         141         141         141
          1                            gld_inst_64bit           8           8           8           8
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit          42          42          42          42
          1                            gst_inst_64bit          32          32          32          32
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           4           4           4           4
          1                              inst_issued0      239683      239683      239683      239683
          1                              inst_issued1       13604       13604       13604       13604
          1                              inst_issued2        1189        1189        1189        1189
          1                             inst_executed       15962       15962       15962       15962
          1                      thread_inst_executed       27454       27454       27454       27454
          1   not_predicated_off_thread_inst_executed       26408       26408       26408       26408
          1                               local_store         100         100         100         100
          1                                local_load         325         325         325         325
          1                               shared_load          23          23          23          23
          1                              shared_store          20          20          20          20
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load          16          16          16          16
          1                              global_store          12          12          12          12
          1                          divergent_branch           9           9           9           9
          1                                    branch        1321        1321        1321        1321
          1                             active_cycles      119909      119909      119909      119909
          1                              active_warps      270596      270596      270596      270596
          1                               active_ctas      289292      289292      289292      289292
          1                           sm_cta_launched           4           4           4           4
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions         146         146         146         146
          1                    shared_st_transactions          81          81          81          81
