==9150== NVPROF is profiling process 9150, command: ./v1.out
==9150== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9150== Profiling application: ./v1.out
==9150== Profiling result:
==9150== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: GPU_minmax(Nim*, MovesArray*, Nimply*, ResultArray*, Result*)
          1                             sm_efficiency                                               Multiprocessor Activity      99.99%      99.99%      99.99%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.062989    0.062989    0.062989
          1                                       ipc                                                          Executed IPC    0.242205    0.242205    0.242205
          1                                issued_ipc                                                            Issued IPC    0.241276    0.241276    0.241276
          1                             inst_per_warp                                                 Instructions per warp  3.0975e+05  3.0975e+05  3.0975e+05
          1                         branch_efficiency                                                     Branch Efficiency      98.84%      98.84%      98.84%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency       7.48%       7.48%       7.48%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency       7.23%       7.23%       7.23%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000021    0.000021    0.000021
          1                    issue_slot_utilization                                                Issue Slot Utilization       5.56%       5.56%       5.56%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.167488    1.167488    1.167488
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.073770    1.073770    1.073770
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    2.151065    2.151065    2.151065
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    1.642157    1.642157    1.642157
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    0.021827    0.021827    0.021827
          1                 shared_store_transactions                                             Shared Store Transactions         262         262         262
          1                  shared_load_transactions                                              Shared Load Transactions         474         474         474
          1                   local_load_transactions                                               Local Load Transactions      688259      688259      688259
          1                  local_store_transactions                                              Local Store Transactions      295060      295060      295060
          1                          gst_transactions                                             Global Store Transactions          54          54          54
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex      98.95%      98.95%      98.95%
          1                            local_hit_rate                                                        Local Hit Rate      24.61%      24.61%      24.61%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  3.6375MB/s  3.6375MB/s  3.6375MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  769.10KB/s  769.10KB/s  769.10KB/s
          1                            gld_throughput                                                Global Load Throughput  29.057MB/s  29.057MB/s  29.057MB/s
          1                            gst_throughput                                               Global Store Throughput  133.33KB/s  133.33KB/s  133.33KB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  1.1428GB/s  1.1428GB/s  1.1428GB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  1.6206GB/s  1.6206GB/s  1.6206GB/s
          1                    local_store_throughput                                         Local Memory Store Throughput  711.43MB/s  711.43MB/s  711.43MB/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  4.5715MB/s  4.5715MB/s  4.5715MB/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  2.5269MB/s  2.5269MB/s  2.5269MB/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      12.52%      12.52%      12.52%
          1                            gst_efficiency                                        Global Memory Store Efficiency     576.85%     576.85%     576.85%
          1                    tex_cache_transactions                                            Unified Cache Transactions      485341      485341      485341
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                                 Instructions Executed     2787747     2787747     2787747
          1                               inst_issued                                                   Instructions Issued     2787810     2787810     2787810
          1                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                         shared_efficiency                                              Shared Memory Efficiency       4.26%       4.26%       4.26%
          1                        shared_utilization                                             Shared Memory Utilization     Low (1)     Low (1)     Low (1)
          1                                inst_fp_32                                               FP Instructions(Single)           0           0           0
          1                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                                  Integer Instructions     3780118     3780118     3780118
          1                          inst_bit_convert                                              Bit-Convert Instructions           0           0           0
          1                              inst_control                                             Control-Flow Instructions      481023      481023      481023
          1                        inst_compute_ld_st                                               Load/Store Instructions     1260214     1260214     1260214
          1                                 inst_misc                                                     Misc Instructions      931190      931190      931190
          1           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                           Issue Slots     2571872     2571872     2571872
          1                                 cf_issued                                      Issued Control-Flow Instructions      280582      280582      280582
          1                               cf_executed                                    Executed Control-Flow Instructions      280582      280582      280582
          1                               ldst_issued                                        Issued Load/Store Instructions      770986      770986      770986
          1                             ldst_executed                                      Executed Load/Store Instructions      551747      551747      551747
          1                       atomic_transactions                                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                inst_executed_global_loads                              Warp level instructions for global loads       12051       12051       12051
          1                 inst_executed_local_loads                               Warp level instructions for local loads      319962      319962      319962
          1                inst_executed_shared_loads                              Warp level instructions for shared loads         406         406         406
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                             Warp level instructions for global stores        2474        2474        2474
          1                inst_executed_local_stores                              Warp level instructions for local stores      179710      179710      179710
          1               inst_executed_shared_stores                             Warp level instructions for shared stores         244         244         244
          1              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          1           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          1             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          1                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads        4032        4032        4032
          1                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads    16437152    16437152    16437152
          1                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          1               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.     9443648     9443648     9443648
          1                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          1              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          1                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          1                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor         144         144         144
          1                       local_load_requests               Total number of local load requests from Multiprocessor      485179      485179      485179
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests             Total number of global store requests from Multiprocessor          99          99          99
          1                      local_store_requests              Total number of local store requests from Multiprocessor      263579      263579      263579
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
