==15062== NVPROF is profiling process 15062, command: ./v1.out
==15062== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15062== Profiling application: ./v1.out
==15062== Profiling result:
==15062== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: GPU_minmax(Nim*, ResultArray*, Result*, MovesArray*, Nimply*, Nimply*)
          1                             sm_efficiency                                               Multiprocessor Activity     100.00%     100.00%     100.00%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.290166    0.290166    0.290166
          1                                       ipc                                                          Executed IPC    0.479218    0.479218    0.479218
          1                                issued_ipc                                                            Issued IPC    0.479209    0.479209    0.479209
          1                             inst_per_warp                                                 Instructions per warp  9.7658e+06  9.7658e+06  9.7658e+06
          1                         branch_efficiency                                                     Branch Efficiency      97.36%      97.36%      97.36%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      25.99%      25.99%      25.99%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      24.77%      24.77%      24.77%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000001    0.000001    0.000001
          1                    issue_slot_utilization                                                Issue Slot Utilization      11.00%      11.00%      11.00%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.285782    1.285782    1.285782
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.034247    1.034247    1.034247
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    5.641774    5.641774    5.641774
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    4.106257    4.106257    4.106257
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    0.000780    0.000780    0.000780
          1                 shared_store_transactions                                             Shared Store Transactions        1510        1510        1510
          1                  shared_load_transactions                                              Shared Load Transactions        2713        2713        2713
          1                   local_load_transactions                                               Local Load Transactions   148574433   148574433   148574433
          1                  local_store_transactions                                              Local Store Transactions    72571809    72571809    72571809
          1                          gst_transactions                                             Global Store Transactions         127         127         127
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex      99.94%      99.94%      99.94%
          1                            local_hit_rate                                                        Local Hit Rate      34.39%      34.39%      34.39%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  5.5604MB/s  5.5604MB/s  5.5604MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  1.1154MB/s  1.1154MB/s  1.1154MB/s
          1                            gld_throughput                                                Global Load Throughput  44.481MB/s  44.481MB/s  44.481MB/s
          1                            gst_throughput                                               Global Store Throughput  7.1240KB/s  7.1240KB/s  7.1230KB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  4.4407GB/s  4.4407GB/s  4.4407GB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  7.9489GB/s  7.9489GB/s  7.9489GB/s
          1                    local_store_throughput                                         Local Memory Store Throughput  3.8827GB/s  3.8827GB/s  3.8827GB/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  608.79KB/s  608.79KB/s  608.79KB/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  338.84KB/s  338.84KB/s  338.84KB/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gst_efficiency                                        Global Memory Store Efficiency   16030.51%   16030.51%   16030.51%
